metric,b2,odds_ratio,n_reps,n_converged,mean_r2_delta,sd_r2_delta,mc_se_r2_delta
ordinal,0.0,1.0,200,198,0.00030470665185631764,0.0002695228123970362,1.9154152225742306e-05
ordinal,0.2,1.2214027581601699,200,199,0.0027405433199416875,0.0012563006792062608,8.90567939328525e-05
ordinal,0.4,1.4918246976412703,200,200,0.009525886390735544,0.002476833397677046,0.00017513856913667562
ordinal,0.5,1.6487212707001282,200,200,0.014904803599203556,0.0034012691010695466,0.0002405060446006549
ordinal,0.6,1.8221188003905089,200,200,0.020785379540067934,0.003990626324742846,0.0002821798935407216
ordinal,0.7,2.0137527074704766,200,200,0.028232756005860647,0.004566527126083584,0.00032290222973260183
ordinal,0.8,2.225540928492468,200,200,0.03699020139617033,0.005496398801297183,0.0003886540864502849
ordinal,0.9,2.45960311115695,200,200,0.0451712774608516,0.005569975436297433,0.0003938567402048413
ordinal,1.0,2.718281828459045,200,200,0.055372288181598145,0.005532159337852947,0.00039118273824002994
ordinal,1.1,3.0041660239464334,200,200,0.0661908271177224,0.007296878920507845,0.0005159672566188272
ordinal,1.2,3.3201169227365472,200,200,0.07890838795624691,0.007713185296101213,0.0005454045627421536
ordinal,1.4,4.0551999668446745,200,200,0.10287606596206117,0.008301230197000888,0.0005869856164489867
ordinal,1.6,4.953032424395115,200,200,0.1312190377631295,0.009214165096066823,0.0006515398622401246
dichotomous,0.0,1.0,200,200,0.00041258218337169737,0.00040973618495975916,2.8972723488255118e-05
dichotomous,0.2,1.2214027581601699,200,200,0.0026115033160955827,0.001533439809626127,0.00010843056879280428
dichotomous,0.4,1.4918246976412703,200,200,0.009005312533535379,0.002573602268886914,0.00018198116164070213
dichotomous,0.5,1.6487212707001282,200,200,0.013635865836969137,0.0035293928103984507,0.0002495657589703791
dichotomous,0.6,1.8221188003905089,200,200,0.01963285881408175,0.004197044778795539,0.00029677588240299187
dichotomous,0.7,2.0137527074704766,200,200,0.02627210407591166,0.004850784978215389,0.00034300229521739406
dichotomous,0.8,2.225540928492468,200,200,0.034367314133328566,0.005825663630431172,0.0004119366257989722
dichotomous,0.9,2.45960311115695,200,200,0.04281937068074164,0.006513924339252709,0.00046060400724216914
dichotomous,1.0,2.718281828459045,200,200,0.05258787404408863,0.007770602652165841,0.0005494645829252637
dichotomous,1.1,3.0041660239464334,200,200,0.06149367506766645,0.008387399713771485,0.0005930787214129924
dichotomous,1.2,3.3201169227365472,200,200,0.0729105530673119,0.008315168720344341,0.0005879712188865751
dichotomous,1.4,4.0551999668446745,200,200,0.09583669889180906,0.010080690172877861,0.0007128124380282525
dichotomous,1.6,4.953032424395115,200,200,0.1224128400876479,0.012101855125171769,0.0008557303823946132
