cell,rep,seed,r2_ci_low,r2_ci_high,chi2_ci_low,chi2_ci_high,ci_reliable,n_effective,base_converged,n_items_per_group,n_raters,n_categories,thresholds,trait_slope,rater_sd,mu_focal,dif_uniform,dif_nonuniform,po_violation,conditioner_reliability,n_items_focal,conditioner,block
0,0,40260702,0.00035500950622356945,0.02252066298682371,0.05751097081524552,3.9020813976162603,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,1,40260703,1.8912335232965822e-05,0.0072180711621433425,0.0036452297596836487,1.35830463130316,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,2,40260704,1.6068702734593236e-05,0.0038995499183495583,0.003233204774857379,0.9308038171312233,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,3,40260705,3.895992208733288e-05,0.01666889928818043,0.007600518427087738,2.8297917286048864,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,4,40260706,1.3758052076766184e-05,0.004837782579376933,0.002572079437728192,1.0374725857421871,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,5,40260707,2.7429902039083508e-05,0.02087253820193866,0.005229374969595706,3.834255186539245,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,6,40260708,6.092439974934155e-05,0.011899251599696261,0.01081964616969865,2.041364660291338,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,7,40260709,0.0012754445835638944,0.04496758377351618,0.25730254833577093,9.028354067644448,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,8,40260710,4.601702018462733e-05,0.010786765391908634,0.007571957156570589,2.12191377755275,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,9,40260711,0.00012228747095813184,0.03816744952481451,0.020191629600255268,7.661661533803788,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,10,40260712,6.61591829849493e-05,0.006580904437246101,0.01335848551217436,1.3310078477159093,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,11,40260713,9.38155192937587e-05,0.046686859979205506,0.015031202944531053,8.412235128033931,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,12,40260714,0.0002773950504901894,0.038367267199760795,0.050437239561854794,6.932843478037843,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,13,40260715,0.0015410369822215012,0.07656727326098438,0.2506679179743992,12.509431893817966,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,14,40260716,1.7172452821246677e-05,0.0038887488753116856,0.003102844803403045,0.728689375870243,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,15,40260717,0.0009334172585233213,0.07078193422077991,0.1672413780053849,12.772090776476109,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,16,40260718,2.43647762269231e-05,0.01417071173547048,0.004168840424119014,2.876832501470383,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,17,40260719,2.1692243922375664e-05,0.007831867878612129,0.004356926741786373,1.5755683139547574,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,18,40260720,6.485112183382717e-05,0.02021834764237017,0.014286744797884488,4.048734661034259,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,19,40260721,0.0009266419022964384,0.05846681618364893,0.15602551450669894,13.1989721342743,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,20,40260722,5.098085098532401e-06,0.0007583139114132923,0.000820424749041662,0.13053670634482153,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,21,40260723,0.0005621459851580999,0.03780506116854261,0.11241275852544252,7.470633910098555,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,22,40260724,1.7603191479861525e-05,0.0036884337973754544,0.003454462191725159,0.6696518700661537,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,23,40260725,2.5460915127839545e-05,3.700926500555344e-05,0.00434005944140381,0.006432156706311122,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,24,40260726,6.67539005300507e-05,0.011114861892944576,0.011891752355835481,1.9796099057760892,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,25,40260727,2.0061262396474293e-05,0.013737198566497525,0.0035726706949252693,2.579537108499942,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,26,40260728,0.00014372597538456637,0.015411544483993074,0.025078011343358398,2.5938618319487983,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,27,40260729,0.00040984408247439984,0.050554152891497825,0.06731824696929563,8.481762187700138,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,28,40260730,2.5305348369737553e-05,0.0011015350420411334,0.004441012525553121,0.16309914775975953,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,29,40260731,3.643956272032761e-05,0.037136874487761394,0.006146222913731967,6.225034527298979,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
